method,locomo_answer_acc,locomo_evidence_r5,longmemeval_answer_acc,longmemeval_evidence_r5,dialsim_answer_acc,dialsim_latency_ms,rhelm_answer_acc,rhelm_evidence_r5,average_answer_acc,average_evidence_r5
Direct,0.255000,,0.142000,,0.289000,556.587,0.140996,,0.206749,
Static RAG,0.462000,0.308844,0.486000,0.701667,0.596000,4323.887,0.304215,0.165468,0.462054,0.391993
A-MEM,0.274000,0.169346,0.230000,0.470700,0.323000,1402.296,0.158621,0.075282,0.246405,0.238442
DDO,0.357000,0.178858,0.382000,0.586767,0.606000,4228.685,0.266667,0.170312,0.402917,0.311979
G-Memory,0.362000,0.178607,0.380000,0.586767,0.604000,4982.006,0.272031,0.170312,0.404508,0.311895
MemInsight,0.363000,0.178607,0.382000,0.586767,0.605000,4997.451,0.273563,0.170312,0.405891,0.311895
MemoryOS,0.359000,0.178607,0.382000,0.586767,0.604000,5001.826,0.270498,0.170312,0.403875,0.311895
Mem0,0.616000,0.876248,0.494000,0.897400,0.600000,1427.193,0.330268,0.301763,0.510067,0.691804
Letta/MemGPT,0.109000,,0.056000,,0.268000,5625.029,0.121073,,0.138518,
MediMem,0.525000,0.717645,0.398000,0.795267,0.586000,3987.621,0.303448,0.284422,0.453112,0.599111
